w1  w2
128.47941605332696 -111.52058394667304
126.93952287853926 -113.06047712146074
143.38090884461508 -96.61909115538492
161.05321806324127 -78.94678193675873
145.515645600899 -94.484354399101
94.11571878784116 -145.88428121215884
79.35636039394194 -160.64363960605806
99.4941390260419 -140.50586097395808
110.67574176152493 -129.32425823847507
101.85494856376863 -138.14505143623137
103.67591312502688 -136.32408687497312
101.62407470112474 -138.37592529887525
96.23744337182461 -143.7625566281754
121.23999132638258 -118.76000867361742
136.47820781944756 -103.52179218055244
96.14332128598335 -143.85667871401665
64.84829723885377 -175.15170276114623
19.64739212986205 -220.35260787013794
-57.94146712491647 -297.94146712491647
-106.19666489919928 -346.1966648991993
-139.44603036232772 -379.44603036232775
-122.22006929590177 -362.2200692959018
-70.36553493715748 -310.36553493715746
-94.93416733648702 -334.934167336487
-110.07895723912407 -350.07895723912407
-85.55948533884612 -325.5594853388461
-34.362567389323885 -274.3625673893239
28.48428173338516 -211.51571826661484
60.674711525544346 -179.32528847445565
85.65865870339756 -154.34134129660242
65.03327613214196 -174.96672386785804
1.5921335472608005 -238.4078664527392
-4.84624507845183 -244.84624507845183
42.32371739895507 -197.67628260104493
37.54261769091136 -202.45738230908864
-19.975639382393183 -259.9756393823932
-73.2514133316522 -313.2514133316522
-66.80975828106284 -306.80975828106284
-42.96924445196146 -282.96924445196146
-62.81886724447531 -302.8188672444753
-56.13575640915951 -296.1357564091595
-54.36181434227682 -294.36181434227683
-74.58916066649999 -314.5891606665
-72.92847124183527 -312.92847124183527
-65.13467428760443 -305.1346742876044
-41.00378231314653 -281.00378231314653
-14.044995411103173 -254.04499541110317
-11.295102510493509 -251.2951025104935
7.440523840205059 -232.55947615979494
-68.06489620133381 -308.0648962013338
-56.962222550343526 -296.96222255034354
-80.1946041029496 -320.1946041029496
-104.02964365230672 -344.02964365230673
-63.846898994119314 -303.84689899411933
-61.527763453045736 -301.52776345304574
-43.2830166951494 -283.2830166951494
-15.636845884574994 -255.636845884575
-11.40932258350313 -251.40932258350313
17.031466219347752 -222.96853378065225
60.88726599705704 -179.11273400294294
71.36989466907835 -168.63010533092165
57.76519446607973 -182.23480553392028
55.92416741438683 -184.07583258561317
80.83726795012718 -159.16273204987283
91.153228746693 -148.846771253307
65.32601058571481 -174.6739894142852
41.89677596020965 -198.10322403979035
27.117161543819297 -212.8828384561807
18.917791359775492 -221.0822086402245
4.0261515669694745 -235.97384843303053
-63.29685459072834 -303.29685459072834
-112.07871134176503 -352.07871134176503
-138.50136256584707 -378.5013625658471
-243.70474813329702 -483.704748133297
-200.38262223897885 -440.38262223897885
-83.38296610363523 -323.3829661036352
18.027802775889537 -221.97219722411046
36.711979943033384 -203.28802005696662
53.166183301095316 -186.83381669890468
56.15242044258774 -183.84757955741225
58.05446003214547 -181.94553996785453
89.04596020477038 -150.95403979522962
122.67984255179547 -117.32015744820453
135.2154440259715 -104.7845559740285
125.03622690912289 -114.96377309087711
113.18843103510834 -126.81156896489166
104.12225705517221 -135.8777429448278
116.91327389318532 -123.08672610681468
130.45529743704398 -109.54470256295602
131.1415955271609 -108.85840447283911
112.85131862742448 -127.14868137257552
123.26308773900884 -116.73691226099116
138.9836090564963 -101.0163909435037
136.2188733348844 -103.78112666511561
145.16493041373087 -94.83506958626913
140.82942883674426 -99.17057116325574
129.91343210513153 -110.08656789486847
119.50197160740026 -120.49802839259974
115.04453047037443 -124.95546952962557
125.4787052938027 -114.5212947061973
156.25605697218813 -83.74394302781187
175.85913516701024 -64.14086483298976
158.3530027941379 -81.6469972058621
135.58397002085346 -104.41602997914654
119.27651457628782 -120.72348542371218
102.20067759411359 -137.79932240588641
105.84363361114673 -134.15636638885326
145.6224917379127 -94.3775082620873
