total DFI time:0.01seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
55.72944377  83.54055128  28.84597611  10.40579705  39.25177316  
55.72944377  111.3516588  23.11676885  5.519185518  28.63595437  
55.72944377  139.1627663  15.99768292  3.326646953  19.32432988  
55.72944377  166.9738738  8.984940069  1.859560595  10.84450066  
55.72944377  194.7849813  7.32813945  1.379454597  8.707594047  
55.72944377  222.5960889  6.1435814  1.408669441  7.552250842  
55.72944377  250.4071964  5.147276261  1.000796633  6.148072894  
83.54055128  -305.8149539  0.02317055742  3.423022753  3.446193311  
83.54055128  -278.0038464  -0.9630710421  4.180848998  3.217777956  
83.54055128  -250.1927389  -1.357978889  4.639271248  3.281292358  
83.54055128  -222.3816314  -2.285811801  5.37840951  3.09259771  
83.54055128  -194.5705239  -2.43977997  6.567484633  4.127704663  
83.54055128  -166.7594163  -4.281925968  7.407515623  3.125589655  
83.54055128  -138.9483088  -4.319899523  8.961735845  4.641836322  
83.54055128  -111.1372013  -4.653229283  10.40831164  5.755082354  
83.54055128  -83.3260938  -3.505273391  11.4761055  7.970832107  
83.54055128  -55.51498629  -5.447280469  12.95487948  7.507599011  
83.54055128  -27.70387877  -1.673585036  14.4415338  12.76794877  
83.54055128  0.10722874  -0.1748691619  16.44879216  16.273923  
83.54055128  27.91833625  12.26201099  14.67788123  26.93989221  
83.54055128  55.72944377  19.24541276  9.240482331  28.48589509  
83.54055128  83.54055128  23.47803278  0.4492035869  23.92723637  
83.54055128  111.3516588  19.22091491  0.7191742518  19.94008917  
83.54055128  139.1627663  14.59731673  -0.1387556123  14.45856112  
83.54055128  166.9738738  10.41304498  -0.5107095582  9.902335421  
83.54055128  194.7849813  7.734040568  -0.969837152  6.764203416  
83.54055128  222.5960889  6.474320267  -0.6389474207  5.835372846  
83.54055128  250.4071964  5.226346304  -0.1047034552  5.121642849  
111.3516588  -305.8149539  0.3470015433  3.116225611  3.463227155  
111.3516588  -278.0038464  0.2191196313  3.442816135  3.661935767  
111.3516588  -250.1927389  -0.6905715372  4.10517409  3.414602553  
111.3516588  -222.3816314  -1.487662419  4.834020769  3.346358351  
111.3516588  -194.5705239  -1.762570849  5.493992011  3.731421162  
111.3516588  -166.7594163  -2.51436389  6.693068164  4.178704274  
111.3516588  -138.9483088  -3.09480079  7.909753323  4.814952533  
111.3516588  -111.1372013  -2.939397043  8.74376017  5.804363127  
111.3516588  -83.3260938  -4.128552909  10.30026079  6.171707883  
111.3516588  -55.51498629  -1.800118414  10.66020318  8.860084762  
111.3516588  -27.70387877  -3.737853568  11.37970412  7.641850552  
111.3516588  0.10722874  0.0528648316  12.6792779  12.73214273  
111.3516588  27.91833625  4.003456323  10.51412401  14.51758034  
111.3516588  55.72944377  9.053836464  4.866260635  13.9200971  
111.3516588  83.54055128  14.45982476  1.068782008  15.52860676  
111.3516588  111.3516588  16.11753038  -0.8196057471  15.29792463  
111.3516588  139.1627663  12.65273827  -1.724373705  10.92836457  
111.3516588  166.9738738  9.696622067  -1.601338683  8.095283385  
111.3516588  194.7849813  6.914804303  -1.286363151  5.628441152  
111.3516588  222.5960889  5.830142374  -1.283629276  4.546513097  
111.3516588  250.4071964  5.216986856  -0.8522119772  4.364774879  
139.1627663  -305.8149539  0.375056516  2.676937133  3.051993649  
139.1627663  -278.0038464  0.3171712645  2.981031286  3.29820255  
139.1627663  -250.1927389  -0.2103975221  3.370995603  3.160598081  
139.1627663  -222.3816314  -0.7589211714  3.978824658  3.219903487  
139.1627663  -194.5705239  -2.168239263  4.564112256  2.395872993  
139.1627663  -166.7594163  -2.456886611  5.325188208  2.868301597  
139.1627663  -138.9483088  -3.971843315  6.378584794  2.406741479  
139.1627663  -111.1372013  -2.862029845  7.179590522  4.317560677  
139.1627663  -83.3260938  -5.195347565  8.051513946  2.85616638  
139.1627663  -55.51498629  -0.605763151  8.675066132  8.069302981  
139.1627663  -27.70387877  -1.962302012  9.163652399  7.201350387  
139.1627663  0.10722874  -0.8981174646  9.112412674  8.214295209  
139.1627663  27.91833625  5.45876449  7.506912547  12.96567704  
139.1627663  55.72944377  8.577799094  3.353632422  11.93143152  
139.1627663  83.54055128  9.044819735  -0.291339123  8.753480612  
139.1627663  111.3516588  8.616398634  -1.306200679  7.310197955  
139.1627663  139.1627663  9.6945235  -0.1838056781  9.510717822  
139.1627663  166.9738738  7.77031972  -2.144192427  5.626127294  
139.1627663  194.7849813  5.787870457  -1.678460545  4.109409911  
139.1627663  222.5960889  5.18198846  -1.010253845  4.171734615  
139.1627663  250.4071964  4.469499921  -0.9494628764  3.520037044  
166.9738738  -305.8149539  0.9416288923  2.297731326  3.239360218  
166.9738738  -278.0038464  0.2391276073  2.701848469  2.940976076  
166.9738738  -250.1927389  0.3099843013  2.992282377  3.302266679  
166.9738738  -222.3816314  -0.1658046505  3.451346455  3.285541805  
166.9738738  -194.5705239  -0.04044079308  4.045206239  4.004765446  
166.9738738  -166.7594163  -1.205454234  4.533463576  3.328009342  
166.9738738  -138.9483088  -0.864677798  5.391585632  4.526907834  
166.9738738  -111.1372013  -0.8419980285  6.011296519  5.169298491  
166.9738738  -83.3260938  -1.989275793  6.518493627  4.529217834  
166.9738738  -55.51498629  -3.076934864  6.97262349  3.895688626  
166.9738738  -27.70387877  -2.466502052  7.031669131  4.565167079  
166.9738738  0.10722874  -1.63667064  7.381320512  5.744649872  
166.9738738  27.91833625  -0.2304410788  5.093281642  4.862840563  
166.9738738  55.72944377  6.91150174  1.608752115  8.520253855  
166.9738738  83.54055128  8.925819442  -0.3742780778  8.551541364  
166.9738738  111.3516588  7.51230393  -1.748714009  5.763589921  
166.9738738  139.1627663  7.045908665  -2.231516799  4.814391866  
166.9738738  166.9738738  6.658119797  -1.593552623  5.064567174  
166.9738738  194.7849813  4.977445496  -1.858271269  3.119174227  
166.9738738  222.5960889  4.40124218  -1.268435152  3.132807028  
166.9738738  250.4071964  3.624804313  -0.5021020978  3.122702215  
194.7849813  -305.8149539  1.15592287  2.200290973  3.356213843  
194.7849813  -278.0038464  0.3989788725  2.359440412  2.758419284  
194.7849813  -250.1927389  0.1952732683  2.63834722  2.833620488  
194.7849813  -222.3816314  0.0360649596  3.118926462  3.154991422  
194.7849813  -194.5705239  -0.9559063957  3.427435463  2.471529067  
194.7849813  -166.7594163  -1.367872036  4.03883399  2.670961954  
194.7849813  -138.9483088  -1.85656936  4.773512394  2.916943033  
194.7849813  -111.1372013  -1.486162403  5.175115018  3.688952614  
194.7849813  -83.3260938  -0.01703105422  5.910604466  5.893573412  
194.7849813  -55.51498629  -1.724881279  5.986399743  4.261518464  
194.7849813  -27.70387877  1.292881229  6.024694338  7.317575567  
194.7849813  0.10722874  1.308945725  5.962861063  7.271806788  
194.7849813  27.91833625  1.783656877  4.486701503  6.27035838  
194.7849813  55.72944377  3.820808977  1.238903332  5.059712309  
194.7849813  83.54055128  6.041858224  -0.9928499076  5.049008317  
194.7849813  111.3516588  6.844318225  -1.122039553  5.722278672  
194.7849813  139.1627663  5.274100321  -1.781393533  3.492706788  
194.7849813  166.9738738  4.866197675  -1.916757704  2.949439971  
194.7849813  194.7849813  4.371068188  -1.991565171  2.379503017  
194.7849813  222.5960889  3.855253714  -0.596086786  3.259166928  
194.7849813  250.4071964  3.161704584  -0.4924211956  2.669283389  
222.5960889  -305.8149539  1.454967225  1.942250332  3.397217557  
222.5960889  -278.0038464  1.108860845  2.175082879  3.283943724  
222.5960889  -250.1927389  0.875595779  2.36301231  3.238608089  
222.5960889  -222.3816314  0.6330916529  2.558106797  3.19119845  
222.5960889  -194.5705239  -0.2876477977  2.968435771  2.680787973  
222.5960889  -166.7594163  0.2677108257  3.313699905  3.58141073  
222.5960889  -138.9483088  -1.796045979  3.80275815  2.006712171  
222.5960889  -111.1372013  -2.058246789  4.424987205  2.366740416  
222.5960889  -83.3260938  0.3570992525  4.76017939  5.117278642  
222.5960889  -55.51498629  -1.336502553  5.052656144  3.716153591  
222.5960889  -27.70387877  -1.641690529  5.301735876  3.660045347  
222.5960889  0.10722874  -0.9468501929  4.856263324  3.909413131  
222.5960889  27.91833625  2.1708024  3.569336159  5.740138559  
222.5960889  55.72944377  4.511283168  1.422971927  5.934255094  
